date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:15	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Jul%202023%2010:24:16%20GMT	http://joamuran.net/robots.txt		(from )
12:24:16	1581/1581	---M-Z	200	added ('OK')	text/html	etag:%2262d-5b9ead8951c85-gzip%22	http://joamuran.net/docencia/psp/	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/index.html	(from )
12:24:16	3227/3227	---M-Z	200	added ('OK')	text/css	etag:%22c9b-5b9ead6c5cede-gzip%22	http://joamuran.net/docencia/css/main.css	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/css/main.css	(from http://joamuran.net/docencia/psp/)
12:24:16	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2010:24:17%20GMT	http://joamuran.net/docencia/psp/u1	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u1	(from http://joamuran.net/docencia/psp/)
12:24:16	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2010:24:17%20GMT	http://joamuran.net/docencia/psp/u2	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u2	(from http://joamuran.net/docencia/psp/)
12:24:16	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2010:24:17%20GMT	http://joamuran.net/docencia/psp/u3	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u3	(from http://joamuran.net/docencia/psp/)
12:24:17	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2010:24:18%20GMT	http://joamuran.net/docencia/psp/u4	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u4	(from http://joamuran.net/docencia/psp/)
12:24:17	1306/1306	---M-Z	200	added ('OK')	text/html	etag:%2251a-5b8ded85acde0-gzip%22	http://joamuran.net/docencia/psp/u2/	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u2/index.html	(from http://joamuran.net/docencia/psp/)
12:24:17	1415/1415	---M-Z	200	added ('OK')	text/html	etag:%22587-5b8ded84fa674-gzip%22	http://joamuran.net/docencia/psp/u1/	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u1/index.html	(from http://joamuran.net/docencia/psp/)
12:24:17	1301/1301	---M-Z	200	added ('OK')	text/html	etag:%22515-5b8ded844500d-gzip%22	http://joamuran.net/docencia/psp/u3/	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u3/index.html	(from http://joamuran.net/docencia/psp/)
12:24:17	1281/1281	---M-Z	200	added ('OK')	text/html	etag:%22501-5b9ead89b5e0b-gzip%22	http://joamuran.net/docencia/psp/u4/	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u4/index.html	(from http://joamuran.net/docencia/psp/)
12:24:17	254/254	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2010:24:18%20GMT	http://joamuran.net/docencia/psp/u1/processos	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u1/processos	(from http://joamuran.net/docencia/psp/u1/)
12:24:18	266/266	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2010:24:19%20GMT	http://joamuran.net/docencia/psp/u1/programacioconcurrent	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u1/programacioconcurrent	(from http://joamuran.net/docencia/psp/u1/)
12:24:18	57543/57543	---M-Z	200	added ('OK')	text/html	etag:%22e0c7-5b8ded8667d70-gzip%22	http://joamuran.net/docencia/psp/u1/processos/	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u1/processos/index.html	(from http://joamuran.net/docencia/psp/u1/)
12:24:18	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2010:24:19%20GMT	http://joamuran.net/docencia/psp/u2/u2.threads	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u2/u2.threads	(from http://joamuran.net/docencia/psp/u2/)
12:24:18	93893/93893	---M-Z	200	added ('OK')	text/html	etag:%2216ec5-5b8ded873d385-gzip%22	http://joamuran.net/docencia/psp/u1/programacioconcurrent/	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u1/programacioconcurrent/index.html	(from http://joamuran.net/docencia/psp/u1/)
12:24:18	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jul%202023%2010:24:19%20GMT	http://joamuran.net/docencia/psp/u3/u3.comunicacions	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u3/u3.comunicacions	(from http://joamuran.net/docencia/psp/u3/)
12:24:18	110696/110696	---M-Z	200	added ('OK')	text/html	etag:%221b068-5b8ded8a86865-gzip%22	http://joamuran.net/docencia/psp/u2/u2.threads/	C:/Mis%20lugares%20Web/PSP/joamuran.net/docencia/psp/u2/u2.threads/index.html	(from http://joamuran.net/docencia/psp/u2/)
